household_id,居住都道府県,居住市区町村,生活保護,児童手当,児童育成手当,児童扶養手当_最小
240,神奈川県,横浜市,131960.0,0.0,0.0,0.0
241,神奈川県,横浜市,129300.0,0.0,0.0,0.0
242,神奈川県,横浜市,129300.0,0.0,0.0,0.0
243,神奈川県,横浜市,129300.0,0.0,0.0,0.0
244,神奈川県,横浜市,126980.0,0.0,0.0,0.0
245,神奈川県,横浜市,126980.0,0.0,0.0,0.0
246,神奈川県,横浜市,126980.0,0.0,0.0,0.0
247,神奈川県,横浜市,129300.0,0.0,0.0,0.0
248,神奈川県,横浜市,129300.0,0.0,0.0,0.0
249,神奈川県,横浜市,126980.0,0.0,0.0,0.0
250,神奈川県,横浜市,129300.0,0.0,0.0,0.0
251,神奈川県,横浜市,126980.0,0.0,0.0,0.0
252,神奈川県,横浜市,126980.0,0.0,0.0,0.0
253,神奈川県,横浜市,129300.0,0.0,0.0,0.0
254,神奈川県,横浜市,129300.0,0.0,0.0,0.0
255,神奈川県,横浜市,126980.0,0.0,0.0,0.0
256,神奈川県,横浜市,129300.0,0.0,0.0,0.0
257,神奈川県,横浜市,126980.0,0.0,0.0,0.0
258,神奈川県,横浜市,131960.0,0.0,0.0,0.0
259,神奈川県,横浜市,129300.0,0.0,0.0,0.0
260,神奈川県,横浜市,126980.0,0.0,0.0,0.0
261,神奈川県,横浜市,129300.0,0.0,0.0,0.0
262,神奈川県,横浜市,126980.0,0.0,0.0,0.0
263,神奈川県,横浜市,131960.0,0.0,0.0,0.0
264,神奈川県,横浜市,129300.0,0.0,0.0,0.0
265,神奈川県,横浜市,126980.0,0.0,0.0,0.0
266,神奈川県,横浜市,126980.0,0.0,0.0,0.0
267,神奈川県,横浜市,129300.0,0.0,0.0,0.0
268,神奈川県,横浜市,126980.0,0.0,0.0,0.0
269,神奈川県,横浜市,126980.0,0.0,0.0,0.0
270,神奈川県,横浜市,126980.0,0.0,0.0,0.0
271,神奈川県,横浜市,126980.0,0.0,0.0,0.0
272,神奈川県,横浜市,129300.0,0.0,0.0,0.0
273,神奈川県,横浜市,129300.0,0.0,0.0,0.0
274,神奈川県,横浜市,129300.0,0.0,0.0,0.0
275,神奈川県,横浜市,126980.0,0.0,0.0,0.0
276,神奈川県,横浜市,126980.0,0.0,0.0,0.0
277,神奈川県,横浜市,131960.0,0.0,0.0,0.0
278,神奈川県,横浜市,126980.0,0.0,0.0,0.0
279,神奈川県,横浜市,131960.0,0.0,0.0,0.0
280,神奈川県,横浜市,131960.0,0.0,0.0,0.0
281,神奈川県,横浜市,131960.0,0.0,0.0,0.0
282,神奈川県,横浜市,129300.0,0.0,0.0,0.0
283,神奈川県,横浜市,129300.0,0.0,0.0,0.0
284,神奈川県,横浜市,126980.0,0.0,0.0,0.0
285,神奈川県,横浜市,129300.0,0.0,0.0,0.0
286,神奈川県,横浜市,129300.0,0.0,0.0,0.0
287,神奈川県,横浜市,129300.0,0.0,0.0,0.0
288,神奈川県,横浜市,131960.0,0.0,0.0,0.0
289,神奈川県,横浜市,131960.0,0.0,0.0,0.0
290,神奈川県,横浜市,126980.0,0.0,0.0,0.0
291,神奈川県,横浜市,126980.0,0.0,0.0,0.0
292,神奈川県,横浜市,131960.0,0.0,0.0,0.0
293,神奈川県,横浜市,126980.0,0.0,0.0,0.0
294,神奈川県,横浜市,131960.0,0.0,0.0,0.0
295,神奈川県,横浜市,126980.0,0.0,0.0,0.0
296,神奈川県,横浜市,129300.0,0.0,0.0,0.0
297,神奈川県,横浜市,126980.0,0.0,0.0,0.0
298,神奈川県,横浜市,126980.0,0.0,0.0,0.0
299,神奈川県,横浜市,126980.0,0.0,0.0,0.0
300,神奈川県,横浜市,126980.0,0.0,0.0,0.0
301,神奈川県,横浜市,126980.0,0.0,0.0,0.0
302,神奈川県,横浜市,126980.0,0.0,0.0,0.0
303,神奈川県,横浜市,129300.0,0.0,0.0,0.0
304,神奈川県,横浜市,131960.0,0.0,0.0,0.0
305,神奈川県,横浜市,131960.0,0.0,0.0,0.0
306,神奈川県,横浜市,126980.0,0.0,0.0,0.0
307,神奈川県,横浜市,126980.0,0.0,0.0,0.0
308,神奈川県,横浜市,126980.0,0.0,0.0,0.0
309,神奈川県,横浜市,126980.0,0.0,0.0,0.0
310,神奈川県,横浜市,131960.0,0.0,0.0,0.0
311,神奈川県,横浜市,126980.0,0.0,0.0,0.0
312,神奈川県,横浜市,126980.0,0.0,0.0,0.0
313,神奈川県,横浜市,126980.0,0.0,0.0,0.0
314,神奈川県,横浜市,126980.0,0.0,0.0,0.0
315,神奈川県,横浜市,126980.0,0.0,0.0,0.0
316,神奈川県,横浜市,129300.0,0.0,0.0,0.0
317,神奈川県,横浜市,126980.0,0.0,0.0,0.0
318,神奈川県,横浜市,126980.0,0.0,0.0,0.0
319,神奈川県,横浜市,126980.0,0.0,0.0,0.0
320,神奈川県,横浜市,126980.0,0.0,0.0,0.0
321,神奈川県,横浜市,126980.0,0.0,0.0,0.0
322,神奈川県,横浜市,126980.0,0.0,0.0,0.0
323,神奈川県,横浜市,129300.0,0.0,0.0,0.0
324,神奈川県,横浜市,129300.0,0.0,0.0,0.0
325,神奈川県,横浜市,126980.0,0.0,0.0,0.0
326,神奈川県,横浜市,126980.0,0.0,0.0,0.0
327,神奈川県,横浜市,126980.0,0.0,0.0,0.0
328,神奈川県,横浜市,126980.0,0.0,0.0,0.0
329,神奈川県,横浜市,126980.0,0.0,0.0,0.0
330,神奈川県,横浜市,129300.0,0.0,0.0,0.0
331,神奈川県,横浜市,126980.0,0.0,0.0,0.0
332,神奈川県,横浜市,126980.0,0.0,0.0,0.0
333,神奈川県,横浜市,126980.0,0.0,0.0,0.0
334,神奈川県,横浜市,129300.0,0.0,0.0,0.0
335,神奈川県,横浜市,126980.0,0.0,0.0,0.0
336,神奈川県,横浜市,129300.0,0.0,0.0,0.0
337,神奈川県,横浜市,126980.0,0.0,0.0,0.0
338,神奈川県,横浜市,126980.0,0.0,0.0,0.0
339,神奈川県,横浜市,131960.0,0.0,0.0,0.0
340,神奈川県,横浜市,126980.0,0.0,0.0,0.0
341,神奈川県,横浜市,129300.0,0.0,0.0,0.0
342,神奈川県,横浜市,126980.0,0.0,0.0,0.0
343,神奈川県,横浜市,126980.0,0.0,0.0,0.0
344,神奈川県,横浜市,126980.0,0.0,0.0,0.0
345,神奈川県,横浜市,126980.0,0.0,0.0,0.0
346,神奈川県,横浜市,126980.0,0.0,0.0,0.0
347,神奈川県,横浜市,129300.0,0.0,0.0,0.0
348,神奈川県,横浜市,126980.0,0.0,0.0,0.0
349,神奈川県,横浜市,129300.0,0.0,0.0,0.0
350,神奈川県,横浜市,126980.0,0.0,0.0,0.0
351,神奈川県,横浜市,129300.0,0.0,0.0,0.0
352,神奈川県,横浜市,126980.0,0.0,0.0,0.0
353,神奈川県,横浜市,126980.0,0.0,0.0,0.0
354,神奈川県,横浜市,126980.0,0.0,0.0,0.0
355,神奈川県,横浜市,126980.0,0.0,0.0,0.0
356,神奈川県,横浜市,129300.0,0.0,0.0,0.0
357,神奈川県,横浜市,129300.0,0.0,0.0,0.0
358,神奈川県,横浜市,126980.0,0.0,0.0,0.0
359,神奈川県,横浜市,131960.0,0.0,0.0,0.0
360,神奈川県,横浜市,126980.0,0.0,0.0,0.0
361,神奈川県,横浜市,126980.0,0.0,0.0,0.0
362,神奈川県,横浜市,131960.0,0.0,0.0,0.0
363,神奈川県,横浜市,126980.0,0.0,0.0,0.0
364,神奈川県,横浜市,126980.0,0.0,0.0,0.0
365,神奈川県,横浜市,129300.0,0.0,0.0,0.0
366,神奈川県,横浜市,129300.0,0.0,0.0,0.0
367,神奈川県,横浜市,131960.0,0.0,0.0,0.0
368,神奈川県,横浜市,126980.0,0.0,0.0,0.0
369,神奈川県,横浜市,126980.0,0.0,0.0,0.0
370,神奈川県,横浜市,129300.0,0.0,0.0,0.0
371,神奈川県,横浜市,126980.0,0.0,0.0,0.0
372,神奈川県,横浜市,126980.0,0.0,0.0,0.0
373,神奈川県,横浜市,126980.0,0.0,0.0,0.0
374,神奈川県,横浜市,126980.0,0.0,0.0,0.0
375,神奈川県,横浜市,126980.0,0.0,0.0,0.0
376,神奈川県,横浜市,126980.0,0.0,0.0,0.0
377,神奈川県,横浜市,129300.0,0.0,0.0,0.0
378,神奈川県,横浜市,126980.0,0.0,0.0,0.0
379,神奈川県,横浜市,126980.0,0.0,0.0,0.0
380,神奈川県,横浜市,126980.0,0.0,0.0,0.0
381,神奈川県,横浜市,126980.0,0.0,0.0,0.0
382,神奈川県,横浜市,126980.0,0.0,0.0,0.0
383,神奈川県,横浜市,126980.0,0.0,0.0,0.0
384,神奈川県,横浜市,129300.0,0.0,0.0,0.0
385,神奈川県,横浜市,131960.0,0.0,0.0,0.0
386,神奈川県,横浜市,126980.0,0.0,0.0,0.0
387,神奈川県,横浜市,126980.0,0.0,0.0,0.0
388,神奈川県,横浜市,131960.0,0.0,0.0,0.0
389,神奈川県,横浜市,126980.0,0.0,0.0,0.0
390,神奈川県,横浜市,131960.0,0.0,0.0,0.0
391,神奈川県,横浜市,126980.0,0.0,0.0,0.0
392,神奈川県,横浜市,126980.0,0.0,0.0,0.0
393,神奈川県,横浜市,126980.0,0.0,0.0,0.0
394,神奈川県,横浜市,129300.0,0.0,0.0,0.0
395,神奈川県,横浜市,126980.0,0.0,0.0,0.0
396,神奈川県,横浜市,131960.0,0.0,0.0,0.0
397,神奈川県,横浜市,126980.0,0.0,0.0,0.0
398,神奈川県,横浜市,126980.0,0.0,0.0,0.0
399,神奈川県,横浜市,126980.0,0.0,0.0,0.0
400,神奈川県,横浜市,129300.0,0.0,0.0,0.0
401,神奈川県,横浜市,129300.0,0.0,0.0,0.0
402,神奈川県,横浜市,126980.0,0.0,0.0,0.0
403,神奈川県,横浜市,126980.0,0.0,0.0,0.0
404,神奈川県,横浜市,131960.0,0.0,0.0,0.0
405,神奈川県,横浜市,126980.0,0.0,0.0,0.0
406,神奈川県,横浜市,126980.0,0.0,0.0,0.0
407,神奈川県,横浜市,131960.0,0.0,0.0,0.0
408,神奈川県,横浜市,126980.0,0.0,0.0,0.0
409,神奈川県,横浜市,126980.0,0.0,0.0,0.0
410,神奈川県,横浜市,126980.0,0.0,0.0,0.0
411,神奈川県,横浜市,126980.0,0.0,0.0,0.0
412,神奈川県,横浜市,126980.0,0.0,0.0,0.0
413,神奈川県,横浜市,126980.0,0.0,0.0,0.0
414,神奈川県,横浜市,129300.0,0.0,0.0,0.0
415,神奈川県,横浜市,126980.0,0.0,0.0,0.0
416,神奈川県,横浜市,126980.0,0.0,0.0,0.0
417,神奈川県,横浜市,126980.0,0.0,0.0,0.0
418,神奈川県,横浜市,126980.0,0.0,0.0,0.0
419,神奈川県,横浜市,126980.0,0.0,0.0,0.0
420,神奈川県,横浜市,126980.0,0.0,0.0,0.0
421,神奈川県,横浜市,129300.0,0.0,0.0,0.0
422,神奈川県,横浜市,126980.0,0.0,0.0,0.0
423,神奈川県,横浜市,131960.0,0.0,0.0,0.0
424,神奈川県,横浜市,129300.0,0.0,0.0,0.0
425,神奈川県,横浜市,131960.0,0.0,0.0,0.0
426,神奈川県,横浜市,126980.0,0.0,0.0,0.0
427,神奈川県,横浜市,126980.0,0.0,0.0,0.0
428,神奈川県,横浜市,126980.0,0.0,0.0,0.0
429,神奈川県,横浜市,129300.0,0.0,0.0,0.0
430,神奈川県,横浜市,126980.0,0.0,0.0,0.0
431,神奈川県,横浜市,126980.0,0.0,0.0,0.0
432,神奈川県,横浜市,129300.0,0.0,0.0,0.0
433,神奈川県,横浜市,129300.0,0.0,0.0,0.0
434,神奈川県,横浜市,126980.0,0.0,0.0,0.0
435,神奈川県,横浜市,126980.0,0.0,0.0,0.0
436,神奈川県,横浜市,126980.0,0.0,0.0,0.0
437,神奈川県,横浜市,126980.0,0.0,0.0,0.0
438,神奈川県,横浜市,126980.0,0.0,0.0,0.0
439,神奈川県,横浜市,126980.0,0.0,0.0,0.0
440,神奈川県,横浜市,126980.0,0.0,0.0,0.0
441,神奈川県,横浜市,126980.0,0.0,0.0,0.0
442,神奈川県,横浜市,126980.0,0.0,0.0,0.0
443,神奈川県,横浜市,126980.0,0.0,0.0,0.0
